category_code,category_name,mid_estimate_usd,spend_tier,rfq_readiness,single_source_risk,competitive_tension,preferred_suppliers,avoid_suppliers,confidence_label,confidence_score,evidence_count,next_action,sourcing_note,timestamp
GENERATOR,Generator and Electrical Switchgear,2093850,STRATEGIC,NEEDS_VERIFICATION,HIGH,HIGH,"GE, Siemens Energy",,COMPONENT_BUILDUPS,65,1,Verify pricing estimate via supplier contact before RFQ. Budget stake too high for unverified estimate.,"5 qualified suppliers identified. BOM bottom-up: $2,093,850. Confidence: 65/100.",2026-04-10T20:23:36.154688+00:00
EMISSIONS,Emissions Control (SCR / CO Catalyst),891750,STRATEGIC,NEEDS_VERIFICATION,LOW,HIGH,"CECO Environmental, Haldor Topsoe",,COMPONENT_BUILDUPS,65,1,Verify pricing estimate via supplier contact before RFQ. Budget stake too high for unverified estimate.,"5 qualified suppliers identified. BOM bottom-up: $891,750. Confidence: 65/100.",2026-04-10T20:23:36.154688+00:00
TRANSFORMER,Step-up Transformer (GSU),760000,STRATEGIC,NEEDS_VERIFICATION,MEDIUM,HIGH,"ABB, Siemens Energy",,COMPONENT_BUILDUPS,65,1,Verify pricing estimate via supplier contact before RFQ. Budget stake too high for unverified estimate.,"4 qualified suppliers identified. BOM bottom-up: $760,000. Confidence: 65/100.",2026-04-10T20:23:36.154688+00:00
FUEL_GAS,Fuel Gas System,700600,STRATEGIC,NEEDS_VERIFICATION,LOW,HIGH,"Emerson, Cameron (Baker Hughes)",,COMPONENT_BUILDUPS,65,1,Verify pricing estimate via supplier contact before RFQ. Budget stake too high for unverified estimate.,"5 qualified suppliers identified. BOM bottom-up: $700,600. Confidence: 65/100.",2026-04-10T20:23:36.154688+00:00
ELEC_DIST,Electrical Distribution (Auxiliary),535050,STRATEGIC,NEEDS_VERIFICATION,LOW,HIGH,"Eaton, Schneider Electric",,COMPONENT_BUILDUPS,65,1,Verify pricing estimate via supplier contact before RFQ. Budget stake too high for unverified estimate.,"5 qualified suppliers identified. BOM bottom-up: $535,050. Confidence: 65/100.",2026-04-10T20:23:36.154688+00:00
INLET_AIR,Inlet Air Filtering System,525150,STRATEGIC,NEEDS_VERIFICATION,LOW,HIGH,"Donaldson, Camfil",,COMPONENT_BUILDUPS,65,1,Verify pricing estimate via supplier contact before RFQ. Budget stake too high for unverified estimate.,"4 qualified suppliers identified. BOM bottom-up: $525,150. Confidence: 65/100.",2026-04-10T20:23:36.154688+00:00
PIPING_VALVES,Piping and Valves (BOP interconnect),507600,STRATEGIC,NEEDS_VERIFICATION,LOW,HIGH,"Flowserve, Emerson (Fisher)",Trillium Flow Technologies (CRITICAL AVOID — revenue too small for single-source risk on W251),COMPONENT_BUILDUPS,65,1,URGENT: Resolve avoid flag before RFQ. Select alternative supplier. Then strategic RFQ.,"5 qualified suppliers identified. BOM bottom-up: $507,600. Confidence: 65/100.",2026-04-10T20:23:36.154688+00:00
CONTROLS_DCS,Controls / DCS Integration,504600,STRATEGIC,NEEDS_VERIFICATION,LOW,HIGH,"Emerson DeltaV, ABB 800xA",,COMPONENT_BUILDUPS,65,1,Verify pricing estimate via supplier contact before RFQ. Budget stake too high for unverified estimate.,"5 qualified suppliers identified. BOM bottom-up: $504,600. Confidence: 65/100.",2026-04-10T20:23:36.154688+00:00
EXHAUST,Exhaust System,430650,TARGETED,NEEDS_VERIFICATION,LOW,HIGH,"CECO Environmental, Burgess-Manning",,COMPONENT_BUILDUPS,65,1,Issue targeted RFQ to top 2 preferred suppliers. Compare responses.,"4 qualified suppliers identified. BOM bottom-up: $430,650. Confidence: 65/100.",2026-04-10T20:23:36.154688+00:00
CIVIL_STRUCT,Civil and Structural Works,336250,TARGETED,NEEDS_VERIFICATION,HIGH,LOW,Various EPC contractors,,COMPONENT_BUILDUPS,65,1,Issue targeted RFQ to top 2 preferred suppliers. Compare responses.,"1 qualified suppliers identified. BOM bottom-up: $336,250. Confidence: 65/100.",2026-04-10T20:23:36.154688+00:00
